ElectionName,LocalityName,LocalityCode,RaceName,NumberOfSeats,BallotName,Percentage,Votes,PoliticalParty
2015 November General,ALBEMARLE COUNTY,003,Commonwealth's Attorney (ALBEMARLE COUNTY),1,Denise Y. Lunsford,48.71%,10603,
2015 November General,ALBEMARLE COUNTY,003,Commonwealth's Attorney (ALBEMARLE COUNTY),1,Robert N. Tracci,51.05%,11113,
2015 November General,ALBEMARLE COUNTY,003,Commonwealth's Attorney (ALBEMARLE COUNTY),1,Write In,0.24%,53,
2015 November General,ALBEMARLE COUNTY,003,Sheriff (ALBEMARLE COUNTY),1,"J. E. ""Chip"" Harding",98.63%,18262,
2015 November General,ALBEMARLE COUNTY,003,Sheriff (ALBEMARLE COUNTY),1,Write In,1.37%,254,
2015 November General,ALBEMARLE COUNTY,003,Soil and Water Conservation Director Thomas Jefferson District (ALBEMARLE COUNTY),2,Steven G. Meeks,46.68%,10962,
2015 November General,ALBEMARLE COUNTY,003,Soil and Water Conservation Director Thomas Jefferson District (ALBEMARLE COUNTY),2,Lonnie M. Murray,52.40%,12305,
2015 November General,ALBEMARLE COUNTY,003,Soil and Water Conservation Director Thomas Jefferson District (ALBEMARLE COUNTY),2,Write In,0.93%,218,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (RIVANNA DISTRICT),1,Norman G. Dill,48.30%,2051,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (RIVANNA DISTRICT),1,Richard Lloyd,45.60%,1936,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (RIVANNA DISTRICT),1,W. Lawrence Gaughan,6.05%,257,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (RIVANNA DISTRICT),1,Write In,0.05%,2,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (SCOTTSVILLE DISTRICT),1,Rick F. Randolph,57.05%,1841,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (SCOTTSVILLE DISTRICT),1,Earl Smith,42.70%,1378,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (SCOTTSVILLE DISTRICT),1,Write In,0.25%,8,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (WHITE HALL DISTRICT),1,Ann Huckle Mallek,94.02%,3286,
2015 November General,ALBEMARLE COUNTY,003,Member Board of Supervisors (WHITE HALL DISTRICT),1,Write In,5.98%,209,
2015 November General,ALBEMARLE COUNTY,003,Member School Board At Large (ALBEMARLE COUNTY),1,"J. S. ""Jonno"" Alcaro",50.30%,9184,
2015 November General,ALBEMARLE COUNTY,003,Member School Board At Large (ALBEMARLE COUNTY),1,Dolly R. D. Joseph,22.11%,4036,
2015 November General,ALBEMARLE COUNTY,003,Member School Board At Large (ALBEMARLE COUNTY),1,Catherine M. Lochner,26.78%,4890,
2015 November General,ALBEMARLE COUNTY,003,Member School Board At Large (ALBEMARLE COUNTY),1,Write In,0.81%,148,
2015 November General,ALBEMARLE COUNTY,003,Member School Board - Special (SAMUEL MILLER DISTRICT),1,Michael J. Basile,22.22%,839,
2015 November General,ALBEMARLE COUNTY,003,Member School Board - Special (SAMUEL MILLER DISTRICT),1,Graham T. Paige,62.37%,2355,
2015 November General,ALBEMARLE COUNTY,003,Member School Board - Special (SAMUEL MILLER DISTRICT),1,Brian C. Vanyo,14.99%,566,
2015 November General,ALBEMARLE COUNTY,003,Member School Board - Special (SAMUEL MILLER DISTRICT),1,Write In,0.42%,16,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (RIVANNA DISTRICT),1,Jason W. Buyaki,98.10%,3148,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (RIVANNA DISTRICT),1,Write In,1.90%,61,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (SCOTTSVILLE DISTRICT),1,Stephen H. Koleszar,98.17%,2575,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (SCOTTSVILLE DISTRICT),1,Write In,1.83%,48,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (WHITE HALL DISTRICT),1,"Caroll J. ""C. J."" Hatcher",43.96%,1721,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (WHITE HALL DISTRICT),1,David D. Oberg,55.76%,2183,
2015 November General,ALBEMARLE COUNTY,003,Member School Board (WHITE HALL DISTRICT),1,Write In,0.28%,11,
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (030),1,Adam P. Ebbin,80.12%,14026,Democratic
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (030),1,J. Ron Fisher,17.58%,3078,Independent Green
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (030),1,Write In,2.30%,402,Write-In
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (035),1,"Richard L. ""Dick"" Saslaw",79.85%,1985,Democratic
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (035),1,Terry W. Modglin,18.18%,452,Independent Green
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (035),1,Write In,1.97%,49,Write-In
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (039),1,George Lincoln Barker,69.24%,4039,Democratic
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (039),1,Joseph R. Murray,30.33%,1769,Republican
2015 November General,ALEXANDRIA CITY,510,Member Senate of Virginia (039),1,Write In,0.43%,25,Write-In
2015 November General,ALEXANDRIA CITY,510,Member House of Delegates (045),1,Mark H. Levine,95.20%,12823,Democratic
2015 November General,ALEXANDRIA CITY,510,Member House of Delegates (045),1,Write In,4.80%,646,Write-In
2015 November General,ALEXANDRIA CITY,510,Member House of Delegates (046),1,Charniele L. Herring,66.96%,7507,Democratic
2015 November General,ALEXANDRIA CITY,510,Member House of Delegates (046),1,Sean T. Lenehan,28.28%,3170,Republican
2015 November General,ALEXANDRIA CITY,510,Member House of Delegates (046),1,"Andrew G. ""Andy"" Bakker",4.50%,505,Libertarian
2015 November General,ALEXANDRIA CITY,510,Member House of Delegates (046),1,Write In,0.26%,29,Write-In
2015 November General,ALEXANDRIA CITY,510,Mayor (ALEXANDRIA CITY),1,Allison Silberberg,63.03%,16610,
2015 November General,ALEXANDRIA CITY,510,Mayor (ALEXANDRIA CITY),1,Write In,36.97%,9743,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Willie F. Bailey Sr.,9.95%,13514,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,John Taylor Chapman,11.37%,15437,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Timothy B. Lovain,10.75%,14597,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,"Redella S. ""Del"" Pepper",10.85%,14733,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Paul C. Smedberg,10.98%,14914,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Justin M. Wilson,11.67%,15852,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Townsend A. Van Fleet,6.19%,8407,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Monique A. Miles,8.32%,11291,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Fernando M. Torrez,6.91%,9383,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,"John R. ""Bob"" Wood",8.52%,11566,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,D. Phil Cefaratti,3.97%,5386,
2015 November General,ALEXANDRIA CITY,510,Member City Council (ALEXANDRIA CITY),6,Write In,0.52%,709,
2015 November General,ALEXANDRIA CITY,510,School Board District A (DISTRICT A),3,"William E. ""Bill"" Campbell",32.36%,6371,
2015 November General,ALEXANDRIA CITY,510,School Board District A (DISTRICT A),3,"Henry E. ""Hal"" Cardwell",29.30%,5770,
2015 November General,ALEXANDRIA CITY,510,School Board District A (DISTRICT A),3,Karen A. Graf,36.22%,7131,
2015 November General,ALEXANDRIA CITY,510,School Board District A (DISTRICT A),3,Write In,2.12%,418,
2015 November General,ALEXANDRIA CITY,510,School Board District B (DISTRICT B),3,"C. M. ""Cindy"" Anderson",20.87%,4761,
2015 November General,ALEXANDRIA CITY,510,School Board District B (DISTRICT B),3,Kelly Carmichael Booz,16.46%,3755,
2015 November General,ALEXANDRIA CITY,510,School Board District B (DISTRICT B),3,Mimi L. Goff,16.78%,3828,
2015 November General,ALEXANDRIA CITY,510,School Board District B (DISTRICT B),3,Margaret Lorber,18.58%,4239,
2015 November General,ALEXANDRIA CITY,510,School Board District B (DISTRICT B),3,Veronica R. Nolan,26.24%,5986,
2015 November General,ALEXANDRIA CITY,510,School Board District B (DISTRICT B),3,Write In,1.07%,245,
2015 November General,ALEXANDRIA CITY,510,School Board District C (DISTRICT C),3,Ronnie M. Campbell,22.52%,2520,
2015 November General,ALEXANDRIA CITY,510,School Board District C (DISTRICT C),3,Daria S. Dillard,17.07%,1910,
2015 November General,ALEXANDRIA CITY,510,School Board District C (DISTRICT C),3,Ramee A. Gentry,17.32%,1938,
2015 November General,ALEXANDRIA CITY,510,School Board District C (DISTRICT C),3,"Patricia-Ann ""Pat"" Hennig",16.98%,1900,
2015 November General,ALEXANDRIA CITY,510,School Board District C (DISTRICT C),3,Christopher J. Lewis,25.10%,2808,
2015 November General,ALEXANDRIA CITY,510,School Board District C (DISTRICT C),3,Write In,1.01%,113,
2015 November General,ALLEGHANY COUNTY,005,Member Senate of Virginia (025),1,R. Creigh Deeds,99.34%,3003,Democratic
2015 November General,ALLEGHANY COUNTY,005,Member Senate of Virginia (025),1,Write In,0.66%,20,Write-In
2015 November General,ALLEGHANY COUNTY,005,Member House of Delegates (019),1,Terry L. Austin,99.30%,2820,Republican
2015 November General,ALLEGHANY COUNTY,005,Member House of Delegates (019),1,Write In,0.70%,20,Write-In
2015 November General,ALLEGHANY COUNTY,005,Clerk of Court (ALLEGHANY COUNTY-COVINGTON CITY),1,Debra N. Byer,99.69%,2872,
2015 November General,ALLEGHANY COUNTY,005,Clerk of Court (ALLEGHANY COUNTY-COVINGTON CITY),1,Write In,0.31%,9,
2015 November General,ALLEGHANY COUNTY,005,Commonwealth's Attorney (ALLEGHANY COUNTY-COVINGTON CITY),1,Edward K. Stein,99.15%,2670,
2015 November General,ALLEGHANY COUNTY,005,Commonwealth's Attorney (ALLEGHANY COUNTY-COVINGTON CITY),1,Write In,0.85%,23,
2015 November General,ALLEGHANY COUNTY,005,Sheriff (ALLEGHANY COUNTY-COVINGTON CITY),1,"William W. ""Billy"" Angle",26.36%,937,
2015 November General,ALLEGHANY COUNTY,005,Sheriff (ALLEGHANY COUNTY-COVINGTON CITY),1,Richard G. Crosier II,7.91%,281,
2015 November General,ALLEGHANY COUNTY,005,Sheriff (ALLEGHANY COUNTY-COVINGTON CITY),1,Kevin W. Hall,65.67%,2334,
2015 November General,ALLEGHANY COUNTY,005,Sheriff (ALLEGHANY COUNTY-COVINGTON CITY),1,Write In,0.06%,2,
2015 November General,ALLEGHANY COUNTY,005,Commissioner of Revenue (ALLEGHANY COUNTY),1,Valerie N. Bruffey,99.84%,3142,
2015 November General,ALLEGHANY COUNTY,005,Commissioner of Revenue (ALLEGHANY COUNTY),1,Write In,0.16%,5,
2015 November General,ALLEGHANY COUNTY,005,Treasurer (ALLEGHANY COUNTY),1,Wanda H. Simpson,99.84%,3044,
2015 November General,ALLEGHANY COUNTY,005,Treasurer (ALLEGHANY COUNTY),1,Write In,0.16%,5,
2015 November General,ALLEGHANY COUNTY,005,Soil and Water Conservation Director Mountain District (ALLEGHANY COUNTY),2,Kevin T. Carey,0.31%,9,
2015 November General,ALLEGHANY COUNTY,005,Soil and Water Conservation Director Mountain District (ALLEGHANY COUNTY),2,Christine L. Hodges,98.93%,2855,
2015 November General,ALLEGHANY COUNTY,005,Soil and Water Conservation Director Mountain District (ALLEGHANY COUNTY),2,Write In,0.76%,22,
2015 November General,ALLEGHANY COUNTY,005,Member Board of Supervisors (BOILING SPRINGS DISTRICT),1,Shannon Paxton Cox,99.50%,401,
2015 November General,ALLEGHANY COUNTY,005,Member Board of Supervisors (BOILING SPRINGS DISTRICT),1,Write In,0.50%,2,
2015 November General,ALLEGHANY COUNTY,005,Member Board of Supervisors (FALLING SPRING DISTRICT),1,"George M. ""Matt"" Garten",97.27%,428,
2015 November General,ALLEGHANY COUNTY,005,Member Board of Supervisors (FALLING SPRING DISTRICT),1,Write In,2.73%,12,
2015 November General,ALLEGHANY COUNTY,005,Member Board of Supervisors (SHARON DISTRICT),1,Cletus W. Nicely,99.46%,557,
2015 November General,ALLEGHANY COUNTY,005,Member Board of Supervisors (SHARON DISTRICT),1,Write In,0.54%,3,
2015 November General,ALLEGHANY COUNTY,005,Member Town Council - Special (IRON GATE),1,Ronald L. Dowd,41.18%,42,
2015 November General,ALLEGHANY COUNTY,005,Member Town Council - Special (IRON GATE),1,Donald M. Hall,20.59%,21,
2015 November General,ALLEGHANY COUNTY,005,Member Town Council - Special (IRON GATE),1,Misty T. Shinault,34.31%,35,
2015 November General,ALLEGHANY COUNTY,005,Member Town Council - Special (IRON GATE),1,Write In,3.92%,4,
2015 November General,AMELIA COUNTY,007,Member Senate of Virginia (011),1,"E. ""Wayne"" Powell",27.22%,1067,Democratic
2015 November General,AMELIA COUNTY,007,Member Senate of Virginia (011),1,Amanda F. Chase,72.70%,2850,Republican
2015 November General,AMELIA COUNTY,007,Member Senate of Virginia (011),1,Write In,0.08%,3,Write-In
2015 November General,AMELIA COUNTY,007,Member House of Delegates (061),1,Gregory L. Marston,26.23%,1025,Democratic
2015 November General,AMELIA COUNTY,007,Member House of Delegates (061),1,Thomas C. Wright Jr.,73.69%,2879,Republican
2015 November General,AMELIA COUNTY,007,Member House of Delegates (061),1,Write In,0.08%,3,Write-In
2015 November General,AMELIA COUNTY,007,Clerk of Court (AMELIA COUNTY),1,Marilyn Lawrence Wilson,99.52%,3720,
2015 November General,AMELIA COUNTY,007,Clerk of Court (AMELIA COUNTY),1,Write In,0.48%,18,
2015 November General,AMELIA COUNTY,007,Commonwealth's Attorney (AMELIA COUNTY),1,Lee Randolph Harrison,94.11%,3389,
2015 November General,AMELIA COUNTY,007,Commonwealth's Attorney (AMELIA COUNTY),1,Write In,5.89%,212,
2015 November General,AMELIA COUNTY,007,Sheriff (AMELIA COUNTY),1,John M. Harmon III,39.26%,1578,
2015 November General,AMELIA COUNTY,007,Sheriff (AMELIA COUNTY),1,"Alvin F. Prince, Jr.",2.91%,117,
2015 November General,AMELIA COUNTY,007,Sheriff (AMELIA COUNTY),1,Ricky L. Walker,41.25%,1658,
2015 November General,AMELIA COUNTY,007,Sheriff (AMELIA COUNTY),1,Rondell L. White,16.57%,666,
2015 November General,AMELIA COUNTY,007,Sheriff (AMELIA COUNTY),1,Write In,0.00%,0,
2015 November General,AMELIA COUNTY,007,Commissioner of Revenue (AMELIA COUNTY),1,Wanda H. Fleming,36.02%,1410,
2015 November General,AMELIA COUNTY,007,Commissioner of Revenue (AMELIA COUNTY),1,Laura M. Walsh,63.93%,2503,
2015 November General,AMELIA COUNTY,007,Commissioner of Revenue (AMELIA COUNTY),1,Write In,0.05%,2,
2015 November General,AMELIA COUNTY,007,Treasurer (AMELIA COUNTY),1,Pamela H. Conyers,99.27%,3662,
2015 November General,AMELIA COUNTY,007,Treasurer (AMELIA COUNTY),1,Write In,0.73%,27,
2015 November General,AMELIA COUNTY,007,Soil and Water Conservation Director Piedmont District (AMELIA COUNTY),2,Donna H. Kerr,50.17%,2888,
2015 November General,AMELIA COUNTY,007,Soil and Water Conservation Director Piedmont District (AMELIA COUNTY),2,Larkin D. Moyer,49.70%,2861,
2015 November General,AMELIA COUNTY,007,Soil and Water Conservation Director Piedmont District (AMELIA COUNTY),2,Write In,0.12%,7,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 1),1,"Thomas R. ""Tommy"" Gleason",98.53%,604,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 1),1,Write In,1.47%,9,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 3),1,"Ralph A. Whitaker, Jr.",69.62%,573,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 3),1,Matthew B. Brown,30.26%,249,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 3),1,Write In,0.12%,1,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 4),1,Carroll E. Barnard,98.57%,760,
2015 November General,AMELIA COUNTY,007,Member Board of Supervisors (DISTRICT 4),1,Write In,1.43%,11,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 1),1,"R. R. ""Reco"" Porter",40.52%,267,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 1),1,Catherine M. Wilkinson,59.18%,390,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 1),1,Write In,0.30%,2,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 3),1,"Kevin B. Delaney, Sr.",32.51%,264,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 3),1,Michael D. Neller,67.49%,548,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 3),1,Write In,0.00%,0,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 4),1,Ann M. Salster,97.76%,697,
2015 November General,AMELIA COUNTY,007,Member School Board (DISTRICT 4),1,Write In,2.24%,16,
2015 November General,AMHERST COUNTY,009,Member Senate of Virginia (022),1,"Thomas A. Garrett, Jr.",97.31%,5651,Republican
2015 November General,AMHERST COUNTY,009,Member Senate of Virginia (022),1,Write In,2.69%,156,Write-In
2015 November General,AMHERST COUNTY,009,Member House of Delegates (023),1,T. Scott Garrett,96.80%,1574,Republican
2015 November General,AMHERST COUNTY,009,Member House of Delegates (023),1,Write In,3.20%,52,Write-In
2015 November General,AMHERST COUNTY,009,Member House of Delegates (024),1,Ellen M. Arthur,22.83%,1260,Democratic
2015 November General,AMHERST COUNTY,009,Member House of Delegates (024),1,Ben L. Cline,76.88%,4242,Republican
2015 November General,AMHERST COUNTY,009,Member House of Delegates (024),1,Write In,0.29%,16,Write-In
2015 November General,AMHERST COUNTY,009,Clerk of Court (AMHERST COUNTY),1,Deborah Coffey Mozingo,69.72%,5343,
2015 November General,AMHERST COUNTY,009,Clerk of Court (AMHERST COUNTY),1,Jennifer R.  Hicks Tuggle,30.14%,2310,
2015 November General,AMHERST COUNTY,009,Clerk of Court (AMHERST COUNTY),1,Write In,0.14%,11,
2015 November General,AMHERST COUNTY,009,Commonwealth's Attorney (AMHERST COUNTY),1,W. Lyle Carver,99.42%,6141,
2015 November General,AMHERST COUNTY,009,Commonwealth's Attorney (AMHERST COUNTY),1,Write In,0.58%,36,
2015 November General,AMHERST COUNTY,009,Sheriff (AMHERST COUNTY),1,Stevie L. Angus,14.16%,1118,
2015 November General,AMHERST COUNTY,009,Sheriff (AMHERST COUNTY),1,"Jeffrey K. ""Jeff"" Rowe",20.55%,1623,
2015 November General,AMHERST COUNTY,009,Sheriff (AMHERST COUNTY),1,"Ernest ""EW"" Viar, Jr.",64.95%,5129,
2015 November General,AMHERST COUNTY,009,Sheriff (AMHERST COUNTY),1,Write In,0.34%,27,
2015 November General,AMHERST COUNTY,009,Commissioner of Revenue (AMHERST COUNTY),1,Jane L. Irby,99.49%,6422,
2015 November General,AMHERST COUNTY,009,Commissioner of Revenue (AMHERST COUNTY),1,Write In,0.51%,33,
2015 November General,AMHERST COUNTY,009,Treasurer (AMHERST COUNTY),1,Garry L. Friend,99.40%,6760,
2015 November General,AMHERST COUNTY,009,Treasurer (AMHERST COUNTY),1,Write In,0.60%,41,
2015 November General,AMHERST COUNTY,009,Soil and Water Conservation Director Robert E. Lee District (AMHERST COUNTY),2,Barry L. Lobb,52.54%,4125,
2015 November General,AMHERST COUNTY,009,Soil and Water Conservation Director Robert E. Lee District (AMHERST COUNTY),2,John J. Petchul,46.75%,3670,
2015 November General,AMHERST COUNTY,009,Soil and Water Conservation Director Robert E. Lee District (AMHERST COUNTY),2,Write In,0.71%,56,
2015 November General,AMHERST COUNTY,009,Member Board of Supervisors (DISTRICT 1),1,Kenneth M. Campbell,52.66%,751,
