State,Office.Level,Body.Name,Body_Represents_State,Body_Represents_County,Body_Represents_Muni,Office.Name,Official.Name,Official.Party,locality,votes
VA,State,State House of Delegates,VA,,,Member House of Delegates (084),"Glenn R. Davis, Jr.",Republican,,6810
VA,State,State House of Delegates,VA,,,Member House of Delegates (064),Rick L. Morris,Republican,,7303
VA,State,State House of Delegates,VA,,,Member House of Delegates (043),Mark D. Sickles,Democratic,,7696
VA,State,State Senate,VA,,,Member Senate of Virginia (037),David W. Marsden,Democratic,,18966
VA,State,State Senate,VA,,,Member Senate of Virginia (015),Frank M. Ruff Jr.,Republican,,7719
VA,State,State House of Delegates,VA,,,Member House of Delegates (037),David L. Bulova,Democratic,,4333
VA,State,State Senate,VA,,,Member Senate of Virginia (001),John C. Miller,Democratic,,12041
VA,State,State Senate,VA,,,Member Senate of Virginia (039),George Lincoln Barker,Democratic,,11891
VA,State,State Senate,VA,,,Member Senate of Virginia (040),Charles W. Carrico,Republican,,10798
VA,State,State House of Delegates,VA,,,Member House of Delegates (054),"Robert D. ""Bobby"" Orrock ",Republican,,11398
VA,State,State House of Delegates,VA,,,Member House of Delegates (067),James M. LeMunyon,Republican,,9643
VA,State,State House of Delegates,VA,,,Member House of Delegates (027),Roxann L. Robinson,Republican,,10551
VA,State,State House of Delegates,VA,,,Member House of Delegates (070),Delores L. McQuinn,Democratic,,5102
VA,State,State House of Delegates,VA,,,Member House of Delegates (083),Chris P. Stolle,Republican,,7029
VA,State,State House of Delegates,VA,,,Member House of Delegates (078),"J. A. ""Jay"" Leftwich, Jr.",Republican,,4689
VA,State,State House of Delegates,VA,,,Member House of Delegates (007),"Larry N. ""Nick"" Rush",Republican,,6774
VA,State,State Senate,VA,,,Member Senate of Virginia (036),Scott A. Surovell,Democratic,,9576
VA,State,State House of Delegates,VA,,,Member House of Delegates (093),Lara S. Overy,Republican,,3321
VA,State,State Senate,VA,,,Member Senate of Virginia (024),"Emmett W. Hanger, Jr.",Republican,,16045
VA,State,State House of Delegates,VA,,,Member House of Delegates (042),David B. Albo,Republican,,10837
VA,State,State House of Delegates,VA,,,Member House of Delegates (017),Christopher T. Head,Republican,,11494
VA,State,State House of Delegates,VA,,,Member House of Delegates (018),Michael J. Webert,Republican,,7207
VA,State,State House of Delegates,VA,,,Member House of Delegates (026),Tony O. Wilt,Republican,,3924
VA,State,State Senate,VA,,,Member Senate of Virginia (038),"A. Benton Chafin, Jr.",Republican,,6397
VA,State,State House of Delegates,VA,,,Member House of Delegates (034),Kathleen J. Murphy,Democratic,,7810
VA,State,State Senate,VA,,,Member Senate of Virginia (008),"Bill R. DeSteph, Jr.",Republican,,15905
VA,State,State Senate,VA,,,Member Senate of Virginia (014),"John A. Cosgrove, Jr.",Republican,,7494
VA,State,State House of Delegates,VA,,,Member House of Delegates (055),"H. F. ""Buddy"" Fowler, Jr.",Republican,,7428
VA,State,State House of Delegates,VA,,,Member House of Delegates (066),"M. Kirkland ""Kirk"" Cox",Republican,,10255
VA,State,State House of Delegates,VA,,,Member House of Delegates (071),Jennifer L. McClellan,Democratic,,937
VA,State,State Senate,VA,,,Member Senate of Virginia (009),A. Donald McEachin,Democratic,,19386
VA,State,State Senate,VA,,,Member Senate of Virginia (031),Barbara A. Favola,Democratic,,14597
VA,State,State House of Delegates,VA,,,Member House of Delegates (079),Steve E. Heretick,Democratic,,1301
VA,State,State House of Delegates,VA,,,Member House of Delegates (006),Jeffrey L. Campbell,Republican,,6481
VA,State,State House of Delegates,VA,,,Member House of Delegates (041),Eileen Filler-Corn,Democratic,,12175
VA,State,State House of Delegates,VA,,,Member House of Delegates (010),J. Randy Minchew,Republican,,7773
VA,State,State Senate,VA,,,Member Senate of Virginia (025),R. Creigh Deeds,Democratic,,12914
VA,State,State House of Delegates,VA,,,Member House of Delegates (049),Alfonso H. Lopez,Democratic,,6105
VA,State,State House of Delegates,VA,,,Member House of Delegates (094),David E. Yancey,Republican,,8140
VA,County,Augusta County School Board,VA,Augusta County,,Member School Board (RIVERHEADS DISTRICT),John M. Ward,,Augusta County,589
VA,County,,VA,Botetourt County,,Clerk of Court (BOTETOURT COUNTY),Tommy L. Moore,,Botetourt County,5234
VA,County,Augusta County Board of Supervisors,VA,Augusta County,,Member Board of Supervisors (RIVERHEADS DISTRICT),Michael L. Shull,,Augusta County,2301
VA,County,,VA,Dickenson County,,Treasurer (DICKENSON COUNTY),"Angela D. ""Angie"" Rakes",,Dickenson County,2487
VA,County,,VA,Accomack County,,Clerk of Court (ACCOMACK COUNTY),"Samuel H. Cooper, Jr.",,Accomack County,6622
VA,County,,VA,Sussex County,,Soil and Water Conservation Director Chowan Basin District (SUSSEX COUNTY),"Harvey M. Dunn, Jr.",,Sussex County,1874
VA,County,,VA,Prince Edward County,,Commissioner of Revenue (PRINCE EDWARD COUNTY),Beverly M. Booth,,Prince Edward County,3364
VA,County,Wise County Board of Supervisors,VA,Wise County,,Member Board of Supervisors (DISTRICT ONE),"Fred A. Luntsford, Jr",,Wise County,1387
VA,County,,VA,Isle Of Wight County,,Clerk of Court (ISLE OF WIGHT COUNTY),Sharon Nelms Jones,,Isle Of Wight County,7666
VA,County,,VA,Fauquier County,,Soil and Water Conservation Director John Marshall District (FAUQUIER COUNTY),"William R. ""Bill"" Frazier",,Fauquier County,8843
VA,County,,VA,Washington County,,Clerk of Court (WASHINGTON COUNTY),Patricia S. Moore,,Washington County,10929
VA,County,Charlotte County Board of Supervisors,VA,Charlotte County,,Member Board of Supervisors (BACON-SAXE DISTRICT),Royal S. Freeman,,Charlotte County,336
VA,County,Nelson County School Board,VA,Nelson County,,Member School Board (WEST DISTRICT),J. David Parr,,Nelson County,750
VA,County,,VA,Bath County,,Commissioner of Revenue (BATH COUNTY),Angel M. Grimm,,Bath County,1095
VA,County,,VA,Prince Edward County,,Commonwealth's Attorney (PRINCE EDWARD COUNTY),Megan L. Clark,,Prince Edward County,3186
VA,County,,VA,Fauquier County,,Commonwealth's Attorney (FAUQUIER COUNTY),"James P. ""Jim"" Fisher",,Fauquier County,12628
VA,County,,VA,Giles County,,Member Town Council (RICH CREEK),Dorsey E. Bradley,,Giles County,150
VA,County,Alleghany County Board of Supervisors,VA,Alleghany County,,Member Board of Supervisors (FALLING SPRING DISTRICT),"George M. ""Matt"" Garten",,Alleghany County,428
VA,County,Caroline County School Board,VA,Caroline County,,Member School Board (BOWLING GREEN DISTRICT),"George L. Spaulding, Jr.",,Caroline County,1192
VA,County,Pulaski County School Board,VA,Pulaski County,,Member School Board (ROBINSON DISTRICT),E. Paige Cash,,Pulaski County,523
VA,County,,VA,Augusta County,,Sheriff (AUGUSTA COUNTY),Donald L. Smith,,Augusta County,6362
VA,County,,VA,Southampton County,,Member Town Council - Branchville (BRANCHVILLE),Susan  Phelps,,Southampton County,33
VA,County,,VA,Halifax County,,Treasurer (HALIFAX COUNTY),Ruth S. Oakes,,Halifax County,6744
VA,County,Greensville County Board of Supervisors,VA,Greensville County,,Member Board of Supervisors (DISTRICT 4),Peggy R. Wiley,,Greensville County,623
VA,County,,VA,Tazewell County,,Soil and Water Conservation Director Tazewell District (TAZEWELL COUNTY),"Robert L. ""Bob"" Moss, Jr.",,Tazewell County,4391
VA,County,Pittsylvania County School Board,VA,Pittsylvania County,,Member School Board (CHATHAM-BLAIRS DISTRICT),"J.S. ""Sam"" Burton",,Pittsylvania County,1176
VA,County,Frederick County School Board,VA,Frederick County,,Member School Board (OPEQUON DISTRICT),Seth T. Thatcher,,Frederick County,1724
VA,County,Augusta County Board of Supervisors,VA,Augusta County,,Member Board of Supervisors - 2 Year Term (MIDDLE RIVER DISTRICT),Gerald W. Garber,,Augusta County,2097
VA,County,,VA,New Kent County,,Sheriff (NEW KENT COUNTY),"J.J. ""Joe"" McLaughlin, Jr",,New Kent County,4049
VA,County,Campbell County School Board,VA,Campbell County,,Member School Board (ALTAVISTA DISTRICT),Gary R. Mattox,,Campbell County,704
VA,County,,VA,Tazewell County,,Sheriff (TAZEWELL COUNTY),Brian L. Hieatt,,Tazewell County,7854
VA,City,,VA,,Roanoke City,Soil and Water Conservation Director Blue Ridge District (ROANOKE CITY),Sarah R. Baumgardner,,Roanoke City,10880
VA,County,Augusta County School Board,VA,Augusta County,,Member School Board - 2 Year Term (MIDDLE RIVER DISTRICT),David R. Shiflett,,Augusta County,2061
VA,County,,VA,Culpeper County,,Clerk of Court (CULPEPER COUNTY),Janice J. Corbin,,Culpeper County,8914
VA,City,,VA,,Emporia City,Sheriff (EMPORIA CITY-GREENSVILLE COUNTY),"W.T. ""Tim"" Jarratt, Jr.",,Emporia City,903
VA,City,,VA,,Alexandria City,Member City Council (ALEXANDRIA CITY),Justin M. Wilson,,Alexandria City,15852
VA,County,Bedford County Board of Supervisors,VA,Bedford County,,Member Board of Supervisors (DISTRICT 5),Tommy W. Scott,,Bedford County,1566
VA,City,Buena Vista City School Board,VA,,Buena Vista City,Member School Board (BUENA VISTA CITY),Wayne D. Flint,,Buena Vista City,744
VA,County,,VA,Surry County,,Clerk of Court (SURRY COUNTY),Gail P. Clayton,,Surry County,1540
VA,County,Lee County School Board,VA,Lee County,,Member School Board (DISTRICT 3),"E. Ty Harber, Jr.",,Lee County,1084
VA,County,,VA,Amelia County,,Soil and Water Conservation Director Piedmont District (AMELIA COUNTY),Donna H. Kerr,,Amelia County,2888
VA,County,,VA,Alleghany County,,Member Town Council - Special (IRON GATE),Ronald L. Dowd,,Alleghany County,42
VA,County,Smyth County School Board,VA,Smyth County,,Member School Board (NORTH FORK DISTRICT),"C. M. ""Mac"" Buchanan Jr.",,Smyth County,787
VA,County,Henry County Board of Supervisors,VA,Henry County,,Member Board of Supervisors (RIDGEWAY DISTRICT),Ryan F. Zehr,,Henry County,1243
VA,County,,VA,Halifax County,,Mayor (HALIFAX),V. Kristy Johnson,,Halifax County,337
VA,County,Mecklenburg County School Board,VA,Mecklenburg County,,Member School Board (DISTRICT 9),G. Glenn Edwards,,Mecklenburg County,784
VA,County,,VA,Bath County,,Commonwealth's Attorney (BATH COUNTY),John C. Singleton,,Bath County,1330
VA,County,Greene County School Board,VA,Greene County,,Member School Board At Large (GREENE COUNTY),Harry A. Daniel,,Greene County,2515
VA,City,,VA,,Norton City,Member City Council - Special (NORTON CITY),Robert L. Fultz Jr.,,Norton City,493
VA,City,,VA,,Virginia Beach City,Soil and Water Conservation Director Virginia Dare District (VIRGINIA BEACH CITY),Leslie A. Jones,,Virginia Beach City,39942
VA,County,Giles County Board of Supervisors,VA,Giles County,,Member Board of Supervisors (EASTERN DISTRICT),Larry Jay Williams,,Giles County,1345
VA,County,Pittsylvania County School Board,VA,Pittsylvania County,,Member School Board (WESTOVER DISTRICT),R. Todd Sanders,,Pittsylvania County,1619
VA,County,Caroline County School Board,VA,Caroline County,,Member School Board (MADISON DISTRICT),Shawn Kelley,,Caroline County,941
VA,County,Augusta County School Board,VA,Augusta County,,Member School Board (WAYNE DISTRICT),Timothy Z. Swortzel,,Augusta County,2265
VA,County,Carroll County Board of Supervisors,VA,Carroll County,,Member Board of Supervisors (SULPHUR SPRINGS DISTRICT),Rex L. Hill,,Carroll County,855
VA,County,,VA,Chesterfield County,,Commissioner of Revenue (CHESTERFIELD COUNTY),Joe A. Horbal,,Chesterfield County,56343
VA,County,Henry County School Board,VA,Henry County,,Member School Board (HORSEPASTURE DISTRICT),Terri C. Flanagan,,Henry County,1553
VA,County,Fauquier County Board of Supervisors,VA,Fauquier County,,Member Board of Supervisors (CENTER DISTRICT),Chris N. Granger,,Fauquier County,1872
VA,County,,VA,Bath County,,Clerk of Court (BATH COUNTY),Annette T. Loan,,Bath County,915
VA,County,,VA,Rockingham County,,Sheriff (HARRISONBURG CITY-ROCKINGHAM COUNTY),Bryan F. Hutcheson,,Rockingham County,9784
VA,County,Giles County School Board,VA,Giles County,,Member School Board (EASTERN DISTRICT),Stephen M. Steele,,Giles County,1144
VA,County,,VA,Lunenburg County,,Treasurer (LUNENBURG COUNTY),Amona W. Currin,,Lunenburg County,1775
VA,County,New Kent County Board of Supervisors,VA,New Kent County,,Member Board of Supervisors (DISTRICT 3),Patricia Ann Paige,,New Kent County,956
VA,County,Pulaski County School Board,VA,Pulaski County,,Member School Board (CLOYD DISTRICT),"W. M. ""Bill"" Benson Jr.",,Pulaski County,994
VA,County,Brunswick County School Board,VA,Brunswick County,,Member School Board (DISTRICT 1),Roy F. Warwick,,Brunswick County,704
VA,County,Cumberland County School Board,VA,Cumberland County,,Member School Board (DISTRICT 1),Ginger M. Sanderson,,Cumberland County,352
VA,County,Prince George County Board of Supervisors,VA,Prince George County,,Member Board of Supervisors (DISTRICT 2),Donald R. Hunter,,Prince George County,1556
VA,County,Southampton County Board of Supervisors,VA,Southampton County,,Member Board of Supervisors (FRANKLIN DISTRICT),Barry T. Porter,,Southampton County,376
VA,County,Cumberland County Board of Supervisors,VA,Cumberland County,,Member Board of Supervisors (DISTRICT 4),David  Meinhard,,Cumberland County,201
VA,City,,VA,,Petersburg City,Member City Council - Special (SECOND WARD),Darrin L. Hill,,Petersburg City,618
VA,County,Smyth County School Board,VA,Smyth County,,Member School Board (RYE VALLEY DISTRICT),Wm. Jesse Choate,,Smyth County,756
VA,County,King George County School Board,VA,King George County,,Member School Board At Large (KING GEORGE COUNTY),Tammy D. Norman  Indseth,,King George County,4180
VA,County,,VA,Floyd County,,Treasurer (FLOYD COUNTY),"Melissa M. ""Missy"" Keith",,Floyd County,3989
VA,County,,VA,Mathews County,,Sheriff (MATHEWS COUNTY),L. Mark Barrick,,Mathews County,2282
VA,County,,VA,Northumberland County,,Clerk of Court (NORTHUMBERLAND COUNTY),Deborah Thomas Bingham,,Northumberland County,2305
VA,City,,VA,,Galax City,Sheriff (CARROLL COUNTY-GALAX CITY),"John B. ""J. B."" Gardner",,Galax City,285
VA,County,Amelia County School Board,VA,Amelia County,,Member School Board (DISTRICT 1),Catherine M. Wilkinson,,Amelia County,390
VA,County,,VA,Smyth County,,Clerk of Court (SMYTH COUNTY),John H. Graham,,Smyth County,6015
VA,County,Buckingham County Board of Supervisors,VA,Buckingham County,,Member Board of Supervisors (DISTRICT 4),E. Morgan Dunnavant,,Buckingham County,283
VA,County,Charlotte County School Board,VA,Charlotte County,,Member School Board (BACON-SAXE DISTRICT),JonPaul Hall Berkley,,Charlotte County,220
VA,County,Dinwiddie County Board of Supervisors,VA,Dinwiddie County,,Member Board of Supervisors (DISTRICT 5),Brenda K. Ebron-Bonner,,Dinwiddie County,683
VA,County,Fairfax County School Board,VA,Fairfax County,,Member School Board (MOUNT VERNON DISTRICT),Karen L. Corbett Sanders,,Fairfax County,11927
VA,County,,VA,Tazewell County,,Treasurer (TAZEWELL COUNTY),David T. Larimer II,,Tazewell County,5315
VA,County,Culpeper County Board of Supervisors,VA,Culpeper County,,Member Board of Supervisors (WEST FAIRFAX DISTRICT),Gary M. Deal,,Culpeper County,814
VA,County,,VA,Patrick County,,Treasurer (PATRICK COUNTY),Sandra K. Stone,,Patrick County,3643
VA,County,,VA,Frederick County,,Clerk of Court (FREDERICK COUNTY),Rebecca P. Hogan,,Frederick County,12183
VA,County,Mecklenburg County Board of Supervisors,VA,Mecklenburg County,,Member Board of Supervisors (DISTRICT 4),Claudia H. Lundy,,Mecklenburg County,570
VA,County,Middlesex County Board of Supervisors,VA,Middlesex County,,Member Board of Supervisors (PINETOP DISTRICT),"M. E. ""Chip"" Holt III",,Middlesex County,445
VA,County,,VA,Cumberland County,,Treasurer (CUMBERLAND COUNTY),"L. O. ""Lee"" Pfeiffer, Jr.",,Cumberland County,1796
VA,County,Isle Of Wight County School Board,VA,Isle Of Wight County,,Member School Board (SMITHFIELD DISTRICT),Kirstin K. Cook,,Isle Of Wight County,1518
VA,County,Fluvanna County School Board,VA,Fluvanna County,,Member School Board (FORK UNION DISTRICT),Perrie J. Johnson,,Fluvanna County,530
VA,County,New Kent County School Board,VA,New Kent County,,Member School Board (DISTRICT 5),Gail B. Hardinge,,New Kent County,852
VA,County,Brunswick County Board of Supervisors,VA,Brunswick County,,Member Board of Supervisors (DISTRICT 5),Barbara Jarrett Drummond,,Brunswick County,461
VA,County,,VA,Powhatan County,,Commonwealth's Attorney (POWHATAN COUNTY),"Richard K. ""Dickie"" Cox",,Powhatan County,8571
VA,County,,VA,Goochland County,,Clerk of Court (GOOCHLAND COUNTY),Dale W. Agnew,,Goochland County,3366
VA,County,Loudoun County School Board,VA,Loudoun County,,Member School Board At Large (LOUDOUN COUNTY),Beth A. Huck,,Loudoun County,33684
VA,County,York County School Board,VA,York County,,Member School Board (DISTRICT 2),Cindy D. Kirschke,,York County,1288
VA,County,,VA,Henry County,,Commonwealth's Attorney (HENRY COUNTY),M. Andrew Nester,,Henry County,9506
VA,County,James City County School Board,VA,James City County,,Member School Board (STONEHOUSE DISTRICT),Holly A. Taylor,,James City County,1931
VA,County,Floyd County School Board,VA,Floyd County,,Member School Board (DISTRICT D),Laura Harman Le Roy,,Floyd County,534
VA,County,Surry County School Board,VA,Surry County,,Member School Board (SURRY DISTRICT),"Harold L. Jones, Jr.",,Surry County,515
VA,County,Northumberland County Board of Supervisors,VA,Northumberland County,,Member Board of Supervisors (DISTRICT 5),Ronnie L. Jett,,Northumberland County,651
VA,County,Scott County Board of Supervisors,VA,Scott County,,Member Board of Supervisors (DISTRICT 3),"Garland ""Jack"" Compton",,Scott County,655
VA,County,Frederick County School Board,VA,Frederick County,,Member School Board (GAINESBORO DISTRICT),Michael A. Lake,,Frederick County,1919
VA,County,Cumberland County School Board,VA,Cumberland County,,Member School Board (DISTRICT 5),Christine M. Curry Ross,,Cumberland County,279
VA,County,,VA,Middlesex County,,Commissioner of Revenue (MIDDLESEX COUNTY),"P. J. ""Bonnie"" Davenport",,Middlesex County,2220
